GLOBALSTAR M078         
время time_t(utc);азимут;угол места;высота(км);широта(град.);долгота(град.)
1387522864;311,627;-54,8087;1415,2;-5,16067;252,005
1387522866;311,603;-54,7529;1415,18;-5,07751;252,062
1387522868;311,58;-54,6971;1415,17;-4,99435;252,119
1387522870;311,556;-54,6413;1415,15;-4,91117;252,176
1387522872;311,533;-54,5855;1415,13;-4,82799;252,233
1387522874;311,51;-54,5297;1415,12;-4,74481;252,289
1387522876;311,487;-54,4738;1415,1;-4,66161;252,346
1387522878;311,463;-54,418;1415,09;-4,57841;252,403
1387522880;311,44;-54,3621;1415,07;-4,49521;252,46
1387522882;311,417;-54,3063;1415,06;-4,412;252,517
1387522884;311,394;-54,2504;1415,04;-4,32878;252,573
1387522886;311,371;-54,1945;1415,03;-4,24555;252,63
1387522888;311,348;-54,1386;1415,01;-4,16232;252,687
1387522890;311,325;-54,0827;1415;-4,07909;252,743
1387522892;311,302;-54,0268;1414,98;-3,99585;252,8
1387522894;311,279;-53,9709;1414,97;-3,9126;252,857
1387522896;311,256;-53,915;1414,95;-3,82935;252,913
1387522898;311,234;-53,859;1414,94;-3,74609;252,97
1387522900;311,211;-53,8031;1414,92;-3,66282;253,027
1387522902;311,188;-53,7471;1414,91;-3,57956;253,083
1387522904;311,166;-53,6912;1414,89;-3,49628;253,14
1387522906;311,143;-53,6352;1414,88;-3,413;253,197
1387522908;311,12;-53,5792;1414,86;-3,32972;253,253
1387522910;311,098;-53,5232;1414,85;-3,24643;253,31
1387522912;311,075;-53,4672;1414,84;-3,16314;253,366
1387522914;311,053;-53,4112;1414,82;-3,07984;253,423
1387522916;311,03;-53,3552;1414,81;-2,99654;253,48
1387522918;311,008;-53,2991;1414,79;-2,91324;253,536
1387522920;310,986;-53,2431;1414,78;-2,82993;253,593
1387522922;310,963;-53,187;1414,77;-2,74661;253,649
1387522924;310,941;-53,1309;1414,75;-2,6633;253,706
1387522926;310,919;-53,0749;1414,74;-2,57998;253,762
1387522928;310,896;-53,0188;1414,72;-2,49665;253,819
1387522930;310,874;-52,9627;1414,71;-2,41332;253,875
1387522932;310,852;-52,9066;1414,7;-2,32999;253,932
1387522934;310,83;-52,8505;1414,68;-2,24666;253,988
1387522936;310,808;-52,7943;1414,67;-2,16332;254,045
1387522938;310,786;-52,7382;1414,66;-2,07998;254,101
1387522940;310,764;-52,6821;1414,64;-1,99663;254,158
1387522942;310,742;-52,6259;1414,63;-1,91328;254,214
1387522944;310,72;-52,5697;1414,62;-1,82993;254,271
1387522946;310,698;-52,5136;1414,61;-1,74658;254,327
1387522948;310,676;-52,4574;1414,59;-1,66323;254,383
1387522950;310,654;-52,4012;1414,58;-1,57987;254,44
1387522952;310,632;-52,345;1414,57;-1,49651;254,496
1387522954;310,61;-52,2888;1414,55;-1,41314;254,553
1387522956;310,589;-52,2326;1414,54;-1,32978;254,609
1387522958;310,567;-52,1763;1414,53;-1,24641;254,666
1387522960;310,545;-52,1201;1414,52;-1,16304;254,722
1387522962;310,524;-52,0638;1414,51;-1,07967;254,778
1387522964;310,502;-52,0076;1414,49;-0,996303;254,835
1387522966;310,48;-51,9513;1414,48;-0,912928;254,891
1387522968;310,459;-51,895;1414,47;-0,829554;254,948
1387522970;310,437;-51,8387;1414,46;-0,746178;255,004
1387522972;310,416;-51,7824;1414,44;-0,662799;255,06
1387522974;310,394;-51,7261;1414,43;-0,579421;255,117
1387522976;310,373;-51,6698;1414,42;-0,496041;255,173
1387522978;310,351;-51,6134;1414,41;-0,412661;255,23
1387522980;310,33;-51,5571;1414,4;-0,329278;255,286
1387522982;310,308;-51,5007;1414,39;-0,245897;255,342
1387522984;310,287;-51,4444;1414,37;-0,162515;255,399
1387522986;310,266;-51,388;1414,36;-0,0791318;255,455
1387522988;310,244;-51,3316;1414,35;0,00425287;255,511
1387522990;310,223;-51,2752;1414,34;0,0876361;255,568
1387522992;310,202;-51,2188;1414,33;0,17102;255,624
1387522994;310,181;-51,1624;1414,32;0,254403;255,681
1387522996;310,16;-51,106;1414,31;0,337788;255,737
1387522998;310,138;-51,0496;1414,3;0,421171;255,793
1387523000;310,117;-50,9931;1414,29;0,504554;255,85
1387523002;310,096;-50,9367;1414,27;0,587938;255,906
1387523004;310,075;-50,8802;1414,26;0,67132;255,963
1387523006;310,054;-50,8237;1414,25;0,754701;256,019
1387523008;310,033;-50,7672;1414,24;0,838082;256,075
1387523010;310,012;-50,7107;1414,23;0,921463;256,132
1387523012;309,991;-50,6542;1414,22;1,00484;256,188
1387523014;309,97;-50,5977;1414,21;1,08822;256,245
1387523016;309,949;-50,5412;1414,2;1,1716;256,301
1387523018;309,928;-50,4847;1414,19;1,25497;256,357
1387523020;309,907;-50,4281;1414,18;1,33835;256,414
1387523022;309,887;-50,3716;1414,17;1,42172;256,47
1387523024;309,866;-50,315;1414,16;1,50509;256,527
1387523026;309,845;-50,2584;1414,15;1,58846;256,583
1387523028;309,824;-50,2018;1414,14;1,67182;256,64
1387523030;309,803;-50,1452;1414,13;1,75519;256,696
1387523032;309,783;-50,0886;1414,12;1,83855;256,752
1387523034;309,762;-50,032;1414,11;1,92191;256,809
1387523036;309,741;-49,9754;1414,1;2,00527;256,865
1387523038;309,721;-49,9188;1414,09;2,08863;256,922
1387523040;309,7;-49,8621;1414,09;2,17198;256,978
1387523042;309,679;-49,8054;1414,08;2,25533;257,035
1387523044;309,659;-49,7488;1414,07;2,33868;257,091
1387523046;309,638;-49,6921;1414,06;2,42203;257,148
